Column,Peak Index,Left,Right,Mean,Width,Choice,PTM
N_11386,79,69,80,2592.25,11,False,False
N_11386,93,88,102,2624.733333333333,13,False,False
N_11386,0,133,144,2840.085,12,False,True
N_11386,1,132,143,2689.2690000000002,12,False,True
N_11386,2,132,143,2745.825,12,False,True
N_13071,59,57,67,2628.0,10,False,False
N_13071,107,105,116,2549.75,10,False,False
N_13071,187,178,189,2614.5,11,False,False
N_13071,239,234,245,2644.9166666666665,10,False,False
N_13071,449,439,462,2625.25,23,False,False
N_13071,504,497,517,2836.0476190476193,20,False,False
N_13071,564,557,575,2805.4210526315787,18,False,False
N_13071,597,592,613,2569.681818181818,20,False,False
N_13071,679,669,684,2562.8125,14,False,False
N_13071,705,693,723,2608.6451612903224,29,False,False
N_13071,756,747,759,2477.6153846153848,12,False,False
N_13071,773,765,777,2459.3076923076924,12,False,False
N_13071,841,831,854,2620.9583333333335,22,False,False
N_13071,942,937,948,2511.6666666666665,11,False,False
N_13071,1034,1020,1040,2755.2380952380954,20,False,False
N_13071,1091,1078,1093,2509.8125,14,False,False
N_13071,1118,1100,1127,2437.035714285714,26,False,False
N_13071,1446,1424,1457,2720.3823529411766,33,False,False
N_13071,1555,1539,1573,2783.9714285714285,34,False,False
N_13071,1557,1539,1573,2783.9714285714285,34,False,False
N_13071,1631,1623,1637,2662.5333333333333,13,False,False
N_13071,1694,1683,1694,2481.9166666666665,11,False,False
N_13071,1713,1706,1721,2720.75,15,False,False
N_13071,1780,1775,1785,2562.2727272727275,10,False,False
N_13071,1906,1898,1914,2753.3529411764707,16,False,False
N_13071,1959,1951,1962,2459.9166666666665,11,False,False
N_13071,2024,2004,2029,2412.923076923077,24,False,False
N_13071,2048,2037,2064,2493.464285714286,27,False,False
N_13071,2299,2280,2307,2812.0714285714284,27,False,False
N_13071,2553,2544,2557,2591.0714285714284,12,False,False
N_13071,2567,2564,2590,2444.3333333333335,25,False,False
N_13071,2610,2606,2618,2479.6153846153848,11,False,False
N_13071,2662,2656,2680,2602.4,24,False,False
N_13071,2757,2747,2760,2540.1428571428573,13,False,False
N_13071,2852,2829,2854,2485.269230769231,24,False,False
N_13071,2914,2901,2928,3008.5714285714284,27,False,False
N_13071,0,2970,2987,3171.4825,18,False,True
N_13071,1,2943,2961,3036.4975,19,False,True
N_13071,2,2972,2985,3072.4935,14,False,True
N_13071,3,2971,2986,3126.4875,16,False,True
N_13071,4,2981,3004,3783.4145,24,False,True
N_13071,5,2968,2988,3261.4725,21,False,True
N_13143,192,183,195,2594.769230769231,11,False,False
N_13143,237,236,248,2504.153846153846,12,False,False
N_13143,285,278,290,2508.0,12,False,False
N_13143,329,297,337,2921.9756097560976,40,False,False
N_13143,456,446,462,2616.823529411765,16,False,False
N_13143,516,507,526,2903.9,19,False,False
N_13143,568,555,571,2418.529411764706,16,False,False
N_13143,607,586,618,2917.6969696969695,32,False,False
N_13143,712,705,716,2706.25,11,False,False
N_13143,740,728,741,2674.285714285714,13,False,False
N_13143,767,759,769,2508.6363636363635,10,False,False
N_13143,843,838,848,2771.0,10,False,False
N_13143,1059,1043,1069,2688.3703703703704,26,False,False
N_13143,1309,1300,1319,2631.5,18,False,False
N_13143,1405,1401,1414,2518.0714285714284,13,False,False
N_13143,1503,1493,1507,2447.266666666667,14,False,False
N_13143,1589,1582,1593,2618.1666666666665,11,False,False
N_13143,1787,1780,1802,2683.304347826087,22,False,False
N_13143,1842,1823,1853,2647.1290322580644,30,False,False
N_13143,1898,1859,1907,2482.5510204081634,47,False,False
N_13143,2012,2001,2022,2542.8636363636365,20,False,False
N_13143,2310,2285,2321,2513.2162162162163,35,False,False
